date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:45:20	1412/1412	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259c8fb22-584%22	http://dentario-html.themerex.net/js/custom/embed.min.js	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/js/custom/embed.min.js	(from http://dentario-html.themerex.net/)
17:45:21	5564/5564	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259c8fb22-15bc%22	http://dentario-html.themerex.net/js/custom/core.messages.js	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/js/custom/core.messages.js	(from http://dentario-html.themerex.net/)
17:45:21	38192/38192	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259c8fb22-9530%22	http://dentario-html.themerex.net/js/custom/shortcodes.js	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/js/custom/shortcodes.js	(from http://dentario-html.themerex.net/)
17:45:22	82683/82683	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259c8fb24-142fb%22	http://dentario-html.themerex.net/js/vendor/mediaelement/mediaelement-and-player.min.js	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/js/vendor/mediaelement/mediaelement-and-player.min.js	(from http://dentario-html.themerex.net/)
17:45:22	20962/20962	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259c8fb24-51e2%22	http://dentario-html.themerex.net/js/vendor/magnific/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/js/vendor/magnific/jquery.magnific-popup.min.js	(from http://dentario-html.themerex.net/)
17:45:22	18922/18922	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259c8fb23-49ea%22	http://dentario-html.themerex.net/js/vendor/comp/comp_front.min.js	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/js/vendor/comp/comp_front.min.js	(from http://dentario-html.themerex.net/)
17:45:22	5710/5710	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259c8fb22-164e%22	http://dentario-html.themerex.net/js/vendor/core.googlemap.js	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/js/vendor/core.googlemap.js	(from http://dentario-html.themerex.net/)
17:45:24	67044/67044	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259c8fb24-105e4%22	http://dentario-html.themerex.net/js/vendor/swiper/swiper.min.js	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/js/vendor/swiper/swiper.min.js	(from http://dentario-html.themerex.net/)
17:45:24	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Nov%202018%2012:15:21%20GMT	http://dentario-html.themerex.net/js/vendor/fonts/revicons/revicons.eot?5510888	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/js/vendor/fonts/revicons/revicons90c6.eot	(from http://dentario-html.themerex.net/js/vendor/revslider/settings.css)
17:45:24	245653/245653	---M--	200	added ('OK')	image/jpeg	etag:%2259c8fb1d-3bf95%22	http://dentario-html.themerex.net/images/info-block-3.jpg	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/images/info-block-3.jpg	(from http://dentario-html.themerex.net/)
17:45:24	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Nov%202018%2012:15:22%20GMT	http://dentario-html.themerex.net/js/vendor/fonts/revicons/revicons.woff?5510888	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/js/vendor/fonts/revicons/revicons90c6.woff	(from http://dentario-html.themerex.net/js/vendor/revslider/settings.css)
17:45:24	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Nov%202018%2012:15:22%20GMT	http://dentario-html.themerex.net/js/vendor/fonts/revicons/revicons.ttf?5510888	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/js/vendor/fonts/revicons/revicons90c6.ttf	(from http://dentario-html.themerex.net/js/vendor/revslider/settings.css)
17:45:25	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Nov%202018%2012:15:23%20GMT	http://dentario-html.themerex.net/js/vendor/fonts/revicons/revicons.svg?5510888	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/js/vendor/fonts/revicons/revicons90c6.svg	(from http://dentario-html.themerex.net/js/vendor/revslider/settings.css)
